"Gene","logFC","t","PValue","FDR"
"ENSG00000179933",-1.75753024526064,-13.2335106235292,8.72217957897231e-25,1.12540012951151e-22
"ENSG00000196954",-1.990142267572,-13.2269328116145,9.02847771045799e-25,1.15699634768441e-22
"ENSG00000172086",-1.88317477244404,-13.225198415106,9.1110230540977e-25,1.15968548846684e-22
"ENSG00000079950",-1.094666556847,-13.2156596189302,9.57872504024017e-25,1.2110337067654e-22
"ENSG00000165949",-2.81760796449753,-13.2135098985275,9.68741198439753e-25,1.2166097797472e-22
"ENSG00000104133",-1.16044683666978,-13.2059229426416,1.00809822314794e-24,1.25765260448085e-22
"ENSG00000149131",-2.696845592472,-13.180327024985,1.15309993747949e-24,1.42432066114614e-22
"ENSG00000188554",-1.09577521121432,-13.1797142924662,1.15681633483045e-24,1.42432066114614e-22
"ENSG00000133943",-1.19965715081951,-13.163997398653,1.25636231926988e-24,1.53684112794845e-22
"ENSG00000231607",-1.36647551340507,-13.1506642027027,1.34752067579509e-24,1.63771577358889e-22
"ENSG00000163464",-1.964462409715,-13.1250055965196,1.54204110673276e-24,1.85025288972176e-22
"ENSG00000167851",-1.70952540239062,-13.1013478207464,1.74627147473355e-24,2.08204190133105e-22
"ENSG00000178685",-1.94322672991209,-13.095192376929,1.80372106611933e-24,2.13701241783371e-22
"ENSG00000163823",-2.22470262521613,-13.0607524746486,2.16196192229821e-24,2.54543991826586e-22
"ENSG00000160710",-1.14658822911699,-13.0487472817413,2.30294949857208e-24,2.69459395367086e-22
"ENSG00000177294",-2.59162714067135,-12.9876688452593,3.176530380819e-24,3.67113370023733e-22
"ENSG00000080802",-1.11920639586421,-12.9801570762854,3.30475734864894e-24,3.79603773986882e-22
"ENSG00000240065",-1.25091897800577,-12.9429861821479,4.01989399142765e-24,4.56185319340446e-22
"ENSG00000178966",-1.84130347373627,-12.9413741260389,4.05420138591582e-24,4.57323626993307e-22
"ENSG00000185722",-1.15002077166443,-12.9341097440337,4.21248031913317e-24,4.7234943007042e-22
"ENSG00000162747",-2.15884859298596,-12.9310005518404,4.28210469431835e-24,4.77315314979698e-22
"ENSG00000169220",-1.53361591177286,-12.9185864033856,4.57179230107352e-24,5.03645750687854e-22
"ENSG00000165029",-2.02437331055442,-12.9157061486179,4.64176601102037e-24,5.08381326253499e-22
"ENSG00000116863",-1.66482669005263,-12.8990289132854,5.06857043008025e-24,5.51917513074288e-22
"ENSG00000133101",-3.45481656472881,-12.8943259994567,5.19589227073642e-24,5.59315534835044e-22
"ENSG00000048342",-1.90115189689251,-12.8948787411696,5.18076310046002e-24,5.59315534835044e-22
"ENSG00000035681",-1.68779424387719,-12.8913172666869,5.27902513835615e-24,5.65035656570188e-22
"ENSG00000129465",-1.46837179371747,-12.8691352587578,5.93453680783232e-24,6.28060698797446e-22
"ENSG00000109046",-1.47267844565998,-12.8652536060879,6.05736765989083e-24,6.37478726128622e-22
"ENSG00000171049",-2.24216296187971,-12.8501689044168,6.55940507245993e-24,6.83091595127006e-22
"ENSG00000170581",-1.76978489517794,-12.8500562537782,6.56330707707761e-24,6.83091595127006e-22
"ENSG00000117010",-2.5287373709544,-12.8313088431297,7.24620818061218e-24,7.50022361024023e-22
"ENSG00000108984",-2.04378146010222,-12.8223296933218,7.59808998620773e-24,7.82146552787876e-22
"ENSG00000257878",-2.56072236635612,-12.8204551239229,7.67368728745882e-24,7.85635440875811e-22
"ENSG00000185885",-1.69027618172897,-12.814632646411,7.91333908584655e-24,8.05791792968526e-22
"ENSG00000172123",-1.9125265636283,-12.7867194195615,9.17072508190894e-24,9.28807091897853e-22
"ENSG00000174007",-2.16870943786107,-12.7608493993861,1.05143732564098e-23,1.05919659574464e-21
"ENSG00000158406",-1.57098144601089,-12.7369647033056,1.19296111538574e-23,1.18904769797019e-21
"ENSG00000149798",-2.08017519267611,-12.724652023335,1.27322621728806e-23,1.26237028848802e-21
"ENSG00000173221",-1.51638162417282,-12.7186463380608,1.31431976762978e-23,1.29629087867067e-21
"ENSG00000115145",-1.81660068561638,-12.7037869148034,1.42180265224491e-23,1.39499574807237e-21
"ENSG00000158373",-2.16624686202347,-12.6901759060813,1.5279738363427e-23,1.49139746782507e-21
"ENSG00000152213",-1.84317217238742,-12.6851864779292,1.56885429863482e-23,1.52340604524137e-21
"ENSG00000168310",-1.81137444144698,-12.6814287022069,1.60036582433561e-23,1.54603545635047e-21
"ENSG00000120280",-1.78523990526224,-12.6636817433819,1.75798091218927e-23,1.68105809257977e-21
"ENSG00000270972",-2.7673364513927,-12.6585424358836,1.80646604036123e-23,1.71869733678408e-21
"ENSG00000182919",-1.20258278627893,-12.6435037072549,1.95618496129789e-23,1.85178956286079e-21
