"Gene","logFC","t","PValue","FDR","SYMBOL","GENENAME"
"ENSG00000160298",1.05011815576396,7.3051669459243,4.05224863813996e-11,3.61269568600476e-10,"C21orf58","chromosome 21 open reading frame 58"
"ENSG00000254928",-1.50125069898377,-7.30174242568272,4.12313586451658e-11,3.67241765559165e-10,NA,NA
"ENSG00000180846",1.37302685306118,7.30148638960104,4.12848489834783e-11,3.67544416422857e-10,"CSNK1G2-AS1","CSNK1G2 antisense RNA 1"
"ENSG00000274286",1.3354403598139,7.30042719399833,4.15068649004756e-11,3.69346396313254e-10,"ADRA2B","adrenoceptor alpha 2B"
"ENSG00000286638",-1.30964871873557,-7.29624534573714,4.23950319051929e-11,3.7707158216715e-10,NA,NA
"ENSG00000065615",-1.11628545331058,-7.29602735590992,4.24418429729983e-11,3.77131810342143e-10,"CYB5R4","cytochrome b5 reductase 4"
"ENSG00000120265",-1.05029190369335,-7.2960726821003,4.24321054245142e-11,3.77131810342143e-10,"PCMT1","protein-L-isoaspartate (D-aspartate) O-methyltransferase"
"ENSG00000164011",-1.04028134895947,-7.28839773177386,4.41128978505796e-11,3.91242358620159e-10,"ZNF691","zinc finger protein 691"
"ENSG00000173727",-1.16083688759094,-7.28804287514203,4.41921864450996e-11,3.91761133295428e-10,NA,NA
"ENSG00000172301",1.20190629809304,7.28770433471676,4.42679610124151e-11,3.92248282950082e-10,"COPRS","coordinator of PRMT5 and differentiation stimulator"
"ENSG00000114978",-1.07506230211851,-7.28716768936414,4.4388340774176e-11,3.93130025154644e-10,"MOB1A","MOB kinase activator 1A"
"ENSG00000254501",1.78198865002913,7.28657538137136,4.45215833916551e-11,3.94124806359022e-10,NA,NA
"ENSG00000174775",1.27879262065889,7.28462871968834,4.49622928757911e-11,3.978392077004e-10,"HRAS","HRas proto-oncogene, GTPase"
"ENSG00000213347",-1.02416567118083,-7.28238938749794,4.54746100733591e-11,4.01806146605037e-10,"MXD3","MAX dimerization protein 3"
"ENSG00000204611",-1.25668577428856,-7.28215838082028,4.55277881137796e-11,4.02087422638246e-10,"ZNF616","zinc finger protein 616"
"ENSG00000135083",-1.03848483944663,-7.27984646720609,4.6063400053634e-11,4.06246409274511e-10,"CCNJL","cyclin J like"
"ENSG00000169902",-1.48276484319929,-7.27315131505957,4.76499779793786e-11,4.19257489572879e-10,"TPST1","tyrosylprotein sulfotransferase 1"
"ENSG00000157554",1.23830617656234,7.26987909952369,4.84449919916155e-11,4.25854763946828e-10,"ERG","ETS transcription factor ERG"
"ENSG00000168995",-1.09602695709391,-7.26941631934931,4.85584844293264e-11,4.26454419431073e-10,"SIGLEC7","sialic acid binding Ig like lectin 7"
"ENSG00000130881",1.22427984055545,7.2675353707755,4.90224872195304e-11,4.29928125810761e-10,"LRP3","LDL receptor related protein 3"
"ENSG00000204634",-1.28034917505629,-7.26631757915314,4.93252391717024e-11,4.32180863030944e-10,"TBC1D8","TBC1 domain family member 8"
"ENSG00000103056",1.30671601351161,7.26388739080705,4.99349505708896e-11,4.36913422598429e-10,"SMPD3","sphingomyelin phosphodiesterase 3"
"ENSG00000161010",1.03811895360436,7.25563242402844,5.20623513622266e-11,4.53421440111708e-10,"MRNIP","MRN complex interacting protein"
"ENSG00000197483",1.05314618937944,7.25469473386142,5.2309614258376e-11,4.55154047759486e-10,"ZNF628","zinc finger protein 628"
"ENSG00000164105",-1.40328650705039,-7.25399864326879,5.24939211005057e-11,4.56546853966448e-10,"SAP30","Sin3A associated protein 30"
"ENSG00000099194",1.24180230326215,7.25220772205399,5.29710735826426e-11,4.60271717781283e-10,"SCD","stearoyl-CoA desaturase"
"ENSG00000092531",-1.04272244187455,-7.2498496424919,5.36058934083986e-11,4.65358442408946e-10,"SNAP23","synaptosome associated protein 23"
