"PC","Variance_Explained_Percent"
"PC265",0.0568662425058728
"PC266",0.0567404021842312
"PC267",0.0564074079394635
"PC268",0.0561765124699191
"PC269",0.0560715019145055
"PC270",0.0560166793074597
"PC271",0.0555522776627771
"PC272",0.0555160325261438
"PC273",0.0552968527853348
"PC274",0.0551875004859776
"PC275",0.0549921805281173
"PC276",0.0547833782703368
"PC277",0.0545247115207174
"PC278",0.0543270749796277
"PC279",0.0541700901766435
"PC280",0.0540269469079834
"PC281",0.0539159945946881
"PC282",0.0534740544663024
"PC283",0.0534027926615699
"PC284",0.0531451057652936
"PC285",0.0529128164185756
"PC286",0.052770104291676
"PC287",0.0523615180943266
"PC288",0.0522603544030898
"PC289",0.0521992246602218
"PC290",0.051909176176031
"PC291",0.0518300483841021
"PC292",0.0516312730059747
"PC293",0.0513998453282426
"PC294",0.0511459565264437
"PC295",0.0509869267063733
"PC296",0.0508291176693256
"PC297",0.0506421313267916
"PC298",0.050397638703028
"PC299",0.0500765078656045
"PC300",0.0499701521960636
"PC301",0.0498241975806061
"PC302",0.0497666128779255
"PC303",0.0495205916412545
"PC304",0.04934468747041
"PC305",0.0491286683200323
"PC306",0.0489336633314854
"PC307",0.0488373033630155
"PC308",0.0485748749963174
"PC309",0.0483292064718183
"PC310",0.0479286249088357
"PC311",0.0478404526300789
"PC312",0.0476415287580953
"PC313",0.047497123405548
"PC314",0.0474886794673947
"PC315",0.0473200427551131
"PC316",0.0469372725517534
"PC317",0.046855608209484
"PC318",0.0468005302189988
"PC319",0.0466096766914256
"PC320",0.0463680157862855
"PC321",0.0462276861011883
"PC322",0.0460119666502368
"PC323",0.0459096926211245
"PC324",0.0458514400450525
"PC325",0.0455970321173563
"PC326",0.0454896284058952
"PC327",0.0450832932749502
"PC328",0.0450141560718004
"PC329",0.0447808432284415
"PC330",0.0446491930742226
"PC331",0.0443054465836695
"PC332",0.0442753830783355
"PC333",0.0439016457381432
"PC334",0.0438560814078961
"PC335",0.0435929428274478
"PC336",0.0435634788979236
"PC337",0.0434695970820197
"PC338",0.0433047128933896
