"Gene","logFC","t_statistic","P.Value","FDR","SYMBOL","GENENAME"
"ENSG00000173588",-0.428060480638217,-4.90588274128544,3.11861130360262e-06,1.63416967280295e-05,"CEP83","centrosomal protein 83"
"ENSG00000127993",-0.423923567094657,-4.90548770150128,3.12379590611729e-06,1.63643123691428e-05,"RBM48","RNA binding motif protein 48"
"ENSG00000148344",0.80387222603345,4.90534785973153,3.12563323156147e-06,1.63693852699902e-05,"PTGES","prostaglandin E synthase"
"ENSG00000162408",0.450966923596272,4.90493169650526,3.13110724974731e-06,1.63934959340578e-05,"NOL9","nucleolar protein 9"
"ENSG00000278730",0.356205727096473,4.90422703384261,3.14039730460387e-06,1.64375672198187e-05,NA,NA
"ENSG00000229619",0.57300669214282,4.90262917647612,3.16156229988739e-06,1.65437529459107e-05,"MBNL1-AS1","MBNL1 antisense RNA 1"
"ENSG00000156502",0.46039955808818,4.90203576808182,3.16945774783065e-06,1.65804623864576e-05,"SUPV3L1","Suv3 like RNA helicase"
"ENSG00000285151",-0.572364825222511,-4.90077244341549,3.18633046607401e-06,1.66594763585629e-05,NA,NA
"ENSG00000285204",-0.572364825222511,-4.90077244341549,3.18633046607401e-06,1.66594763585629e-05,"SMN1-AS1","SMN1 antisense RNA 1"
"ENSG00000205837",-0.759832504152163,-4.90002751032952,3.19632051957633e-06,1.67070715726356e-05,"LINC00487","long intergenic non-protein coding RNA 487"
