"Gene","logFC","t","PValue","FDR"
"ENSG00000169894",1.09832415244061,5.35837420183156,4.42839248409069e-07,1.87381081795374e-06
"ENSG00000138696",1.17661066276222,5.3543659928782,4.5075006308081e-07,1.90386315881532e-06
"ENSG00000006704",1.01743929243657,5.35396948339678,4.51540100574833e-07,1.9063452296344e-06
"ENSG00000280341",1.05033293250663,5.35382295873183,4.51832390420676e-07,1.90672459022058e-06
"ENSG00000186094",1.10812833017816,5.35297893196437,4.53519672536918e-07,1.91341625783885e-06
"ENSG00000137699",1.06162920271603,5.35081447903678,4.57874790498466e-07,1.93006160291119e-06
"ENSG00000242512",1.17786149862505,5.3472752294636,4.650843493193e-07,1.95826083425949e-06
"ENSG00000283247",1.11854364654203,5.34105549055546,4.78023815349442e-07,2.00915052064989e-06
"ENSG00000196341",1.06055438627644,5.33938672964948,4.81554911543644e-07,2.02308907753326e-06
"ENSG00000168772",1.04223738211923,5.33851887070197,4.83401360415581e-07,2.02948848395559e-06
"ENSG00000130477",1.02964299667123,5.33640682249415,4.87923884434189e-07,2.04619548864008e-06
"ENSG00000139767",1.03419531435376,5.33286757339375,4.95595314379298e-07,2.07605615572097e-06
"ENSG00000144868",1.03178607080499,5.3285955712461,5.0501207220108e-07,2.11174637427835e-06
"ENSG00000050030",1.02201511188514,5.32399731032499,5.15343338594134e-07,2.15399108330071e-06
"ENSG00000259380",1.06404430378607,5.32366667446618,5.16094109089462e-07,2.15617228366096e-06
"ENSG00000261649",1.01860064676337,5.31662053321535,5.3235008638039e-07,2.21524429583251e-06
"ENSG00000159239",1.05636292346063,5.31630145375076,5.33097944405836e-07,2.2173767005337e-06
"ENSG00000228590",1.00695344079414,5.3062998152781,5.57067085305285e-07,2.30840953651143e-06
"ENSG00000288535",1.46151729091438,5.30305143360845,5.65075976401472e-07,2.33588144278672e-06
"ENSG00000128573",1.20364050218653,5.29807004852067,5.77576496006052e-07,2.38134953638915e-06
"ENSG00000145934",1.08878628658323,5.28477520567412,6.1227622448727e-07,2.51560731011804e-06
