"Gene","Variance"
"ENSG00000267601",5.67970608789551
"ENSG00000181126",5.64939822562587
"ENSG00000143416",5.64734864296878
"ENSG00000163958",5.6451128700161
"ENSG00000253998",5.63616968726182
"ENSG00000074803",5.61504770323353
"ENSG00000211644",5.60728248920034
"ENSG00000211660",5.59850195224559
"ENSG00000211942",5.58819024451441
"ENSG00000103355",5.53719633860416
"ENSG00000119917",5.50534827735301
"ENSG00000270550",5.49728627296151
"ENSG00000211967",5.48022796100151
"ENSG00000225492",5.45694885690671
"ENSG00000251634",5.4564667422549
"ENSG00000169245",5.40742684877885
"ENSG00000211959",5.40364905414878
"ENSG00000203618",5.39528416868642
"ENSG00000287542",5.37074943144055
"ENSG00000258790",5.36616077213698
"ENSG00000240671",5.32525442762564
"ENSG00000283537",5.32255992064052
"ENSG00000186919",5.30320174562634
"ENSG00000211945",5.30222795252112
"ENSG00000119922",5.26067170192158
"ENSG00000259040",5.25289600956062
"ENSG00000211943",5.25151203266232
"ENSG00000211625",5.24626736711971
"ENSG00000211653",5.24053177582651
"ENSG00000118113",5.22099389628887
"ENSG00000241294",5.21307889525322
"ENSG00000211946",5.20430604828041
"ENSG00000277150",5.19884272417897
"ENSG00000211651",5.19252214885639
"ENSG00000259332",5.16753753383996
"ENSG00000248769",5.14874992978613
"ENSG00000211897",5.14581917622022
"ENSG00000248101",5.14036369116279
"ENSG00000152463",5.13102708752373
"ENSG00000124102",5.09281321799195
"ENSG00000211956",5.09042873551667
"ENSG00000178440",5.08744522322142
"ENSG00000211598",5.0784169652756
"ENSG00000241351",5.07580435676994
"ENSG00000211951",5.05489920433392
"ENSG00000211892",5.02298195653491
"ENSG00000214262",5.01544786256433
"ENSG00000173366",4.99420918382743
"ENSG00000274276",4.98541840515116
"ENSG00000260075",4.98089197531778
"ENSG00000281990",4.97679179122973
"ENSG00000100079",4.967245671504
"ENSG00000215378",4.96287344245154
"ENSG00000230069",4.95757449601907
"ENSG00000211896",4.9417905780875
"ENSG00000002933",4.93683285732167
"ENSG00000197238",4.93596124930913
"ENSG00000108691",4.93276542093511
"ENSG00000243466",4.92922804816347
"ENSG00000263335",4.87749523704401
"ENSG00000254732",4.86716753514651
"ENSG00000258643",4.86275082072631
"ENSG00000265784",4.85995721480535
"ENSG00000225698",4.83925511003974
"ENSG00000279296",4.83303336976572
"ENSG00000211642",4.83198266021791
"ENSG00000268083",4.82945905481235
"ENSG00000268433",4.80212324768874
"ENSG00000285534",4.79297404479255
"ENSG00000211964",4.79254246065768
"ENSG00000086548",4.79073855297828
"ENSG00000278599",4.78584623548622
"ENSG00000284874",4.78428253120844
"ENSG00000231412",4.78290815051234
"ENSG00000278299",4.78085325910413
"ENSG00000185736",4.77951512467139
"ENSG00000285628",4.77586555815009
"ENSG00000134326",4.77443482596167
"ENSG00000166947",4.76593781141827
"ENSG00000179044",4.76394393809713
"ENSG00000231528",4.75239241245987
"ENSG00000122861",4.74310151821574
"ENSG00000224650",4.72553455130189
"ENSG00000244437",4.71325304957486
"ENSG00000274226",4.69593578434558
"ENSG00000005381",4.68792367926192
"ENSG00000012223",4.66215399300824
"ENSG00000211970",4.64971173713501
"ENSG00000286132",4.64760817354713
"ENSG00000137965",4.63681377234997
"ENSG00000205609",4.63280880065573
"ENSG00000211938",4.63034243529059
"ENSG00000202198",4.61734098102263
"ENSG00000142178",4.61336205282437
"ENSG00000283743",4.59287213858483
"ENSG00000251201",4.5875936866099
"ENSG00000124469",4.5807778149751
"ENSG00000132530",4.57699671495101
"ENSG00000168282",4.57117327237292
"ENSG00000089127",4.56877162069111
"ENSG00000211949",4.55018585959005
"ENSG00000231475",4.54743036013941
"ENSG00000211974",4.54174286514841
"ENSG00000185046",4.52057931562547
"ENSG00000010030",4.51839534054398
"ENSG00000213934",4.518014243821
"ENSG00000111331",4.50024227714642
"ENSG00000078081",4.4963200457851
"ENSG00000211968",4.49496065457447
"ENSG00000283782",4.48999171584656
"ENSG00000152778",4.47033450602561
"ENSG00000148346",4.45544322670817
"ENSG00000149516",4.44526150736331
"ENSG00000227775",4.43273824315302
"ENSG00000288535",4.4322147361612
"ENSG00000160307",4.41287815626376
"ENSG00000253239",4.40721929631113
"ENSG00000213443",4.40297699427899
"ENSG00000225964",4.37460720483586
"ENSG00000284292",4.3667021168603
"ENSG00000211933",4.36405000182589
"ENSG00000183844",4.3557027592019
"ENSG00000100101",4.35076565832077
"ENSG00000283228",4.34982104267868
"ENSG00000256664",4.34756892796156
"ENSG00000284431",4.3461773219594
"ENSG00000231259",4.33932225299949
"ENSG00000223629",4.33736522064882
"ENSG00000254873",4.31222898728354
"ENSG00000096006",4.29871755095939
"ENSG00000259884",4.29768033642145
"ENSG00000248477",4.2968842121075
"ENSG00000257181",4.28280894084681
"ENSG00000286098",4.27275905006951
