Factor,GO_ID,P_value,FDR
Factor13,GO:0006915,6.57002144423098e-06,9.19803002192337e-05
Factor13,GO:0030335,2.24763811681795e-05,0.000275335669310199
Factor13,GO:0071222,0.000118312286817049,0.0012882893453412
Factor13,GO:0016477,0.000134481535433068,0.00131791904724407
Factor13,GO:0043410,0.000200546883973955,0.001739520667062
Factor13,GO:0051897,0.000213002530660653,0.001739520667062
Factor13,GO:0001525,0.00139959071983554,0.0104907978122652
Factor13,GO:0006935,0.00154547233651481,0.0104907978122652
Factor13,GO:0050729,0.00165957373652636,0.0104907978122652
Factor13,GO:0071356,0.00171278331628819,0.0104907978122652
Factor13,GO:0006508,0.00570876405868196,0.0329093457500489
Factor13,GO:0001822,0.00667939097822778,0.0363655731036846
Factor13,GO:0007166,0.00718126143691236,0.0370401905693374
Factor13,GO:0006955,0.00835326320664844,0.0409309897125774
Factor13,GO:0007155,0.0185389546444821,0.0842227846571614
Factor13,GO:0070098,0.0189071557393628,0.0842227846571614
Factor13,GO:0070374,0.0208678854024052,0.0889153378015527
Factor13,GO:0007204,0.0417471767648921,0.16810730529679
Factor13,GO:0061844,0.0428845166573443,0.16810730529679
Factor13,GO:0007169,0.0454681209521434,0.171379840511925
Factor13,GO:0071347,0.0531045422522039,0.185865897882714
Factor13,GO:0071456,0.0527935757593909,0.185865897882714
Factor13,GO:0032760,0.0637611993525417,0.215468880570658
Factor13,GO:0045087,0.068358512956086,0.223304475656548
Factor13,GO:0048821,0.0794646464652947,0.251210817858029
Factor13,GO:0008284,0.0842588538478951,0.258042739909179
Factor13,GO:0009410,0.0894237343222061,0.265561392835642
Factor13,GO:0007160,0.103708449363923,0.298924354048954
Factor13,GO:0000122,0.114837013133665,0.315794948479117
Factor13,GO:0019731,0.116006307604573,0.315794948479117
