"pathway","pval","padj","log2err","ES","NES","size"
"REACTOME_GAMMA_CARBOXYLATION_HYPUSINYLATION_HYDROXYLATION_AND_ARYLSULFATASE_ACTIVATION",0.226381461675579,0.553376906318083,0.119887845115423,0.506366717553353,1.21894306513668,11
"REACTOME_MITF_M_DEPENDENT_GENE_EXPRESSION",0.224598930481283,0.553376906318083,0.120433371642259,0.507587582666122,1.22188197287111,11
"REACTOME_RET_SIGNALING",0.233333333333333,0.564102564102564,0.133554954557592,-0.487672293988515,-1.21108752746966,10
"REACTOME_CELLULAR_SENESCENCE",0.240213523131673,0.574423642271391,0.115734447701689,0.455743897614939,1.17104733520736,14
"REACTOME_CELL_JUNCTION_ORGANIZATION",0.248780487804878,0.588512981904013,0.135740943810425,-0.362382243278155,-1.15052672920427,24
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",0.262798634812287,0.615060634667054,0.107140237276725,0.398950936619872,1.14970506252622,22
"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION",0.276041666666667,0.639254385964912,0.105125131597001,0.416434136027054,1.1410272601986,18
"REACTOME_INTERLEUKIN_10_SIGNALING",0.287828947368421,0.646967120181406,0.0992333343771191,0.363005007793596,1.13142907433265,30
"REACTOME_REGULATED_NECROSIS",0.288194444444444,0.646967120181406,0.102449405629826,0.412108361948422,1.12917466282926,18
"REACTOME_RSV_HOST_INTERACTIONS",0.282685512367491,0.646967120181406,0.104732821580651,0.454793576480796,1.15118080815257,13
"REACTOME_DEVELOPMENTAL_LINEAGE_OF_MAMMARY_GLAND_MYOEPITHELIAL_CELLS",0.295871559633028,0.657492354740061,0.118815039412263,-0.432392201057688,-1.1469440989717,13
"REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT",0.305799648506151,0.672759226713533,0.0995791200495904,0.414323936205215,1.11942856453316,17
"REACTOME_BACTERIAL_INFECTION_PATHWAYS",0.309608540925267,0.672985306654631,0.0995791200495904,0.439013914459977,1.12805915194432,14
"REACTOME_CELL_CELL_COMMUNICATION",0.312020460358056,0.672985306654631,0.122679189568808,-0.317838711756793,-1.0920173137935,35
"REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS",0.330143540669856,0.676613008768486,0.114266502484433,-0.360998122312297,-1.0901910182287,20
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",0.33160621761658,0.676613008768486,0.0937465422491719,0.417798239800379,1.12403489671486,16
"REACTOME_DEUBIQUITINATION",0.326388888888889,0.676613008768486,0.0949751525905595,0.40253529905283,1.10294452273633,18
"REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING",0.332155477031802,0.676613008768486,0.0949751525905595,0.438548867900417,1.11006194078318,13
"REACTOME_MITOTIC_G2_G2_M_PHASES",0.318840579710145,0.676613008768486,0.0988903007520636,0.4814231396264,1.12946298771282,10
"REACTOME_O_LINKED_GLYCOSYLATION",0.324652777777778,0.676613008768486,0.0952879846194844,0.403208909702302,1.10479021223993,18
"REACTOME_ANTIMICROBIAL_PEPTIDES",0.345423143350604,0.684622446280477,0.0913924325943768,0.412714308791177,1.11035720417703,16
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",0.343163538873995,0.684622446280477,0.119348440591015,-0.266864788283353,-1.0543152438544,63
"REACTOME_INTERLEUKIN_17_SIGNALING",0.34330985915493,0.684622446280477,0.0928481214159878,0.450224941315046,1.10952366780274,12
"REACTOME_RAC3_GTPASE_CYCLE",0.355658198614319,0.687799912752654,0.107140237276725,-0.374341343480395,-1.07346020170539,17
"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2",0.359531772575251,0.687799912752654,0.0873098257637931,0.34034281643133,1.06665007268338,32
"REACTOME_RHOG_GTPASE_CYCLE",0.355555555555556,0.687799912752654,0.104732821580651,-0.441910959000341,-1.09744362617014,10
"REACTOME_SIGNALING_BY_INSULIN_RECEPTOR",0.357142857142857,0.687799912752654,0.106729884364606,-0.421254579078441,-1.08316039601475,12
"REACTOME_PROGRAMMED_CELL_DEATH",0.378068739770867,0.717026920255093,0.0833634065110386,0.332321264455534,1.06467612050178,34
"REACTOME_CDC42_GTPASE_CYCLE",0.382042253521127,0.717846460618145,0.086794975677172,0.437550430876645,1.07828890486814,12
