"OlinkID","t","Assay","UniProt","MissingFreq","LOD","Panel","Panel_Version","ENTREZID"
"OID20306",-5.99444479145165,"PTPRS","Q13332",0.03,-0.534,"CARDIOMETABOLIC",1,"5802"
"OID20367",2.53933215264546,"C1QTNF1","Q9BXJ1",0.03,0.0244,"CARDIOMETABOLIC",1,"114897"
"OID20258",-0.688703525339491,"REG3A","Q06141",0.03,0.0267,"CARDIOMETABOLIC",1,"5068"
"OID20234",10.0593729164543,"TYMP","P19971",0.06,3.1138,"CARDIOMETABOLIC",1,"1890"
"OID20392",-2.53884297406585,"LCN2","P80188",0.63,2.8773,"CARDIOMETABOLIC",1,"3934"
"OID20397",-7.11946013694034,"CD93","Q9NPY3",0.03,-0.4122,"CARDIOMETABOLIC",1,"22918"
"OID20204",1.81432847822962,"SOST","Q9BQB4",0.03,0.5994,"CARDIOMETABOLIC",1,"50964"
"OID20409",2.25083863631376,"CA1","P00915",0.03,1.2464,"CARDIOMETABOLIC",1,"759"
"OID20150",1.68099968538189,"LACTB2","Q53H82",0.18,0.4633,"CARDIOMETABOLIC",1,"51110"
"OID20414",-4.07708132456358,"EFEMP1","Q12805",0.03,0.2638,"CARDIOMETABOLIC",1,"2202"
"OID20346",-1.17121192995085,"ART3","Q13508",0.04,0.0063,"CARDIOMETABOLIC",1,"419"
"OID20352",3.40864678503301,"ITIH3","Q06033",0.04,0.3163,"CARDIOMETABOLIC",1,"3699"
"OID20129",-4.67981477705169,"TSHB","P01222",0.22,0.9356,"CARDIOMETABOLIC",1,"7252"
"OID20227",5.95781631466046,"FBP1","P09467",0.5,1.9971,"CARDIOMETABOLIC",1,"2203"
"OID20412",2.44428407435679,"CCL5","P13501",0.05,0.8954,"CARDIOMETABOLIC",1,"6352"
"OID20112",0.675940372627698,"ITGB1BP2","Q9UKP3",0.36,1.7032,"CARDIOMETABOLIC",1,"26548"
"OID20403",1.97600639003529,"ANG","P03950",0.03,2.8292,"CARDIOMETABOLIC",1,"283"
"OID20169",1.69947590834902,"SDC1","P18827",0.03,1.0276,"CARDIOMETABOLIC",1,"6382"
"OID20228",3.17595000335985,"CTSL","P07711",0.03,1.5732,"CARDIOMETABOLIC",1,"1514"
"OID20091",0.797930824600264,"WASF1","Q92558",0.61,0.8841,"CARDIOMETABOLIC",1,"8936"
"OID20416",4.92760860911745,"GGH","Q92820",0.99,5.2835,"CARDIOMETABOLIC",1,"8836"
"OID20233",-3.34052434416953,"FAM3C","Q92520",0.03,1.2947,"CARDIOMETABOLIC",1,"10447"
"OID20275",-5.68281884562309,"MSMB","P08118",0.59,0.297,"CARDIOMETABOLIC",1,"4477"
"OID20277",2.2011754479505,"ICAM3","P32942",0.03,-0.4387,"CARDIOMETABOLIC",1,"3385"
"OID20382",0.586717714726223,"FCN2","Q15485",0.03,0.1923,"CARDIOMETABOLIC",1,"2220"
"OID20388",-0.679999762721565,"TFPI","P10646",0.03,-0.4071,"CARDIOMETABOLIC",1,"7035"
"OID20162",1.00790752396063,"EIF4EBP1","Q13541",0.03,0.6203,"CARDIOMETABOLIC",1,"1978"
"OID20405",-8.44086114409821,"COMP","P49747",0.03,0.7117,"CARDIOMETABOLIC",1,"1311"
"OID20153",1.55585626407331,"CXCL8","P10145",0.05,0.821,"CARDIOMETABOLIC",1,"3576"
"OID20080",0.0682884219584903,"MTPN","P58546",0.97,0.4523,"CARDIOMETABOLIC",1,"136319"
"OID20326",-1.00780403748937,"PI3","P19957",0.59,2.2388,"CARDIOMETABOLIC",1,"5266"
