"Protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Significant","Assay","UniProt","Panel","ENTREZID"
"OID21284",-0.902418217738543,1.84048459530026,-7.26305995378959,2.1137711058964e-12,3.63925169918789e-11,17.4304855439538,"Down",TRUE,"SERPINA9","Q86WD7","ONCOLOGY","327657"
"OID20883",0.937879676334593,1.49966135770235,7.20744115203852,3.03205066915242e-12,5.15809572168905e-11,17.0774492056182,"Up",TRUE,"BRK1","Q8WUW1","NEUROLOGY","55845"
"OID20550",-0.520842992854138,0.511870496083551,-7.1945725988196,3.29505396411102e-12,5.53956719378194e-11,16.9960609518668,"Down",TRUE,"COL9A1","P20849","INFLAMMATION","1297"
"OID20227",1.12579089533417,2.1081637075718,7.14073376601889,4.66116707157952e-12,7.7451252852176e-11,16.6567559785952,"Up",TRUE,"FBP1","P09467","CARDIOMETABOLIC","2203"
"OID21393",-0.636134754098357,1.17781749347258,-7.11893297490259,5.36110851522709e-12,8.80577479110289e-11,16.5199165411352,"Down",TRUE,"ITGB7","P26010","ONCOLOGY","3695"
"OID20953",0.637268213535096,3.32242872062663,7.10095605825004,6.01340854683747e-12,9.65523686902331e-11,16.4076046693554,"Up",TRUE,"TNFSF14","O43557","NEUROLOGY","8740"
"OID20109",-0.45970680538041,3.51774699738903,-7.06830909308609,7.39917294149931e-12,1.17482423704472e-10,16.2047498765772,"Down",FALSE,"ADAM15","Q13444","CARDIOMETABOLIC","8751"
"OID21112",0.760933909205544,4.02330026109661,7.02394902647135,9.8262780056248e-12,1.54304959011405e-10,15.9274719438696,"Up",TRUE,"CLEC11A","Q9Y240","NEUROLOGY","6320"
"OID20705",0.371762185792348,4.82431749347259,6.98742158728597,1.2367355705344e-11,1.90207540041627e-10,15.7025668546069,"Up",FALSE,"ERBB3","P21860","INFLAMMATION","2065"
"OID21052",-0.611835418242956,4.71719634464752,-6.98740739075159,1.23787972175446e-11,1.90207540041627e-10,15.7017120038706,"Down",TRUE,"TNFRSF21","O75509","NEUROLOGY","27242"
"OID21007",-0.323411366120217,0.844586422976501,-6.97622877331884,1.32738931818449e-11,2.01791418689962e-10,15.6334291178983,"Down",FALSE,"ROBO2","Q9HCK4","NEUROLOGY","6092"
"OID20243",-0.361414573350145,1.75368302872063,-6.95999694935435,1.47057084532499e-11,2.21204814523096e-10,15.5333181074738,"Down",FALSE,"CDH5","P33151","CARDIOMETABOLIC","1003"
"OID21064",-0.792459617486335,4.79624569190601,-6.95281237235602,1.54082615732851e-11,2.29358393627338e-10,15.487794208312,"Down",TRUE,"JAM2","P57087","NEUROLOGY","58494"
"OID20378",0.6916211223203,7.14910339425587,6.94168862541848,1.65219294632646e-11,2.43400383536135e-10,15.4195860222392,"Up",TRUE,"CD14","P08571","CARDIOMETABOLIC","929"
"OID21322",0.534867166876835,2.57959373368146,6.9336203995468,1.73712664570265e-11,2.53301426194805e-10,15.3705659516363,"Up",TRUE,"ST3GAL1","Q11201","ONCOLOGY","6482"
"OID21460",-0.636735372005042,4.11321227154047,-6.93015039679083,1.77646642520621e-11,2.56421264810068e-10,15.3487191986953,"Down",TRUE,"DSG3","P32926","ONCOLOGY","1830"
"OID21195",0.278881105506514,2.19747650130548,6.91979725708798,1.89379813104502e-11,2.70623752926334e-10,15.2861628035686,"Up",FALSE,"CA11","O75493","ONCOLOGY","770"
"OID21130",-0.61044934846574,0.645836031331593,-6.91581228307882,1.94440420380679e-11,2.75104317548505e-10,15.2604782607776,"Down",TRUE,"CD300LG","Q6UXG3","NEUROLOGY","146894"
"OID20049",-1.77180200084068,2.35784778067885,-6.91149481655409,1.9977900975452e-11,2.79886475430597e-10,15.2340146438066,"Down",TRUE,"NPPB","P16860","CARDIOMETABOLIC","4879"
"OID20904",0.929726620428748,3.33567127937337,6.87708894390794,2.47797389998499e-11,3.40688905918933e-10,15.0235861925863,"Up",TRUE,"MAD1L1","Q9Y6D9","NEUROLOGY","8379"
"OID20401",-0.603434316939887,6.55429164490862,-6.87687034106669,2.47947139367173e-11,3.40688905918933e-10,15.022949966737,"Down",TRUE,"CCL14","Q16627","CARDIOMETABOLIC","6358"
"OID21494",0.665397713324923,4.54685770234987,6.81581189591156,3.62911459840923e-11,4.93905215345408e-10,14.6509343686157,"Up",TRUE,"NELL1","Q92832","ONCOLOGY","4745"
"OID20573",-0.502781715006304,2.12196631853786,-6.7920973519528,4.2010090481517e-11,5.66343578283847e-10,14.5080035737436,"Down",TRUE,"CLEC4A","Q9UMR7","INFLAMMATION","50856"
"OID20716",-0.413571235813366,5.39295091383812,-6.77498664366647,4.66777412630314e-11,6.23387778176373e-10,14.4051094922003,"Down",FALSE,"CD58","P19256","INFLAMMATION","965"
"OID20238",-0.566313778898695,2.85644725848564,-6.77116402722551,4.78304262705646e-11,6.29663810204275e-10,14.3813420745395,"Down",TRUE,"PLTP","P55058","CARDIOMETABOLIC","5360"
"OID20096",0.767090689365277,2.40250574412533,6.77057160654245,4.80289400365752e-11,6.29663810204275e-10,14.3773286927089,"Up",TRUE,"GZMH","P20718","CARDIOMETABOLIC","2999"
"OID21421",0.75718373266078,4.63275613577023,6.68680714926918,8.03817346867962e-11,1.04043632802876e-09,13.8746910470133,"Up",TRUE,"VWA1","Q6PCB0","ONCOLOGY","64856"
"OID21154",-1.16988587221521,2.28006892950392,-6.68592325578122,8.08176573906171e-11,1.04043632802876e-09,13.8694134895903,"Down",TRUE,"TFF1","P04155","NEUROLOGY","7031"
"OID20330",-0.330820592686002,0.452741253263708,-6.67803683875475,8.47320361234737e-11,1.08108999661111e-09,13.8232016753482,"Down",FALSE,"FAP","Q12884","CARDIOMETABOLIC","2191"
"OID20989",0.613146729718366,5.10659791122715,6.66786318987345,9.02209445976656e-11,1.14093566221296e-09,13.7619972681235,"Up",TRUE,"PSME2","Q9UL46","NEUROLOGY","5721"
"OID21138",0.590652610340475,1.79995535248042,6.63943607238234,1.07328024264165e-10,1.34536619889027e-09,13.5926262386542,"Up",TRUE,"ARSA","P15289","NEUROLOGY","410"
"OID20696",-0.503603858764183,3.32290391644909,-6.63499634645194,1.10166513890304e-10,1.36893868129777e-09,13.5671032261171,"Down",TRUE,"IL10RB","Q08334","INFLAMMATION","3588"
"OID21443",-0.385056191677174,3.29118563968668,-6.60810795338098,1.29681517121446e-10,1.59754213764264e-09,13.4080080974813,"Down",FALSE,"PRTG","Q2VWP7","ONCOLOGY","283659"
"OID21136",-0.584708717948715,4.03881906005222,-6.59187192777301,1.43192487347563e-10,1.74890653350143e-09,13.3113965441868,"Down",TRUE,"IL7R","P16871","NEUROLOGY","3575"
"OID20292",-1.05250037831021,5.56261618798956,-6.55478753542385,1.79222610567916e-10,2.17041619069112e-09,13.0925672556667,"Down",TRUE,"COL6A3","P12111","CARDIOMETABOLIC","1293"
"OID21419",-0.896855388818828,3.52632349869452,-6.5338110480709,2.03347969442331e-10,2.44188443977387e-09,12.9694402887013,"Down",TRUE,"CLMP","Q9H6B4","ONCOLOGY","79827"
"OID21291",-0.740561702395962,3.56906919060052,-6.52845640337795,2.09999965019889e-10,2.48347685676631e-09,12.9380603320358,"Down",TRUE,"KLK13","Q9UKR3","ONCOLOGY","26085"
"OID21001",-0.717337696511135,3.04702375979112,-6.52822879066226,2.10287403547043e-10,2.48347685676631e-09,12.9367269033554,"Down",TRUE,"ADAM22","Q9P0K1","NEUROLOGY","53616"
"OID21364",-0.632875889029001,0.627720365535248,-6.51633250009418,2.25859820653252e-10,2.64552199765162e-09,12.8670863605984,"Down",TRUE,"TMPRSS15","P98073","ONCOLOGY","5651"
