"PC","Variance_Explained"
"PC735",0.00184490399060114
"PC736",0.00182362584346669
"PC737",0.00181580442019171
"PC738",0.00179178107764083
"PC739",0.00177955062056521
"PC740",0.00176211947030978
"PC741",0.00173925728035326
"PC742",0.00173365217691969
"PC743",0.00169497283217626
"PC744",0.00167566877462479
"PC745",0.0016603574459613
"PC746",0.00162418482501558
"PC747",0.0016078514802878
"PC748",0.00156720556522971
"PC749",0.00155052115041122
"PC750",0.00153469183850191
"PC751",0.00152206713285662
"PC752",0.00151752183945787
"PC753",0.00148790709009655
"PC754",0.00147412147508728
"PC755",0.00143493186433421
"PC756",0.00142562482200924
"PC757",0.00139893052403544
"PC758",0.0013719508916652
"PC759",0.00134981694392435
"PC760",0.00131588274743101
"PC761",0.00131184730187855
"PC762",0.00128455658875455
"PC763",0.00126990260899433
"PC764",0.00126308147946236
"PC765",0.00124148113211023
"PC766",0.0012153536147845
"PC767",0.0011957707463819
"PC768",0.00118635811311269
"PC769",0.00115151189505324
"PC770",0.00112709342312483
"PC771",0.00111573304745384
"PC772",0.00108846130124981
"PC773",0.0010519887310488
"PC774",0.00103270771150639
"PC775",0.00100229330394439
"PC776",0.000991061423729186
"PC777",0.000988386615711716
"PC778",0.000883418346785886
"PC779",0.000871071020672378
"PC780",0.000846409970587921
"PC781",1.24061033714894e-30
