"PC","Variance_Explained_Percent"
115,0.0712328276835385
116,0.0706071283963667
117,0.0696277320784556
118,0.0688740797497289
119,0.0678407926351253
120,0.0671340969990093
121,0.0658176600093053
122,0.065551643743243
123,0.0650107015318313
124,0.0642690147626025
125,0.0632175735685094
126,0.0625987131932562
127,0.061860917594324
128,0.0613240019975397
129,0.0602428973489073
130,0.0594616800409317
131,0.0588145620326962
132,0.0582186842124909
133,0.057502131865263
134,0.0564102899909488
135,0.0560439989306645
136,0.0543880281674142
137,0.0542543978500321
138,0.0533465540082988
139,0.0529727800118005
140,0.052000640007825
141,0.0511642715309576
142,0.050793959245152
143,0.0505478284874263
144,0.0494596723853799
145,0.0493616937789673
146,0.0483389326200168
147,0.0475126486497562
148,0.047303594977343
149,0.0466934648626304
150,0.0465074344052323
151,0.0456787538275608
152,0.0451590565636982
153,0.0446751644969735
154,0.0444500456610587
155,0.0437044843286798
156,0.0430610093081961
157,0.0427112914114034
158,0.0421916451114006
159,0.0415085647016646
160,0.0410640338675132
161,0.0406467712546349
162,0.0396218554147498
163,0.0395073453467606
164,0.0390114991703606
165,0.0388561476956055
166,0.0382034333206706
167,0.0378198043955944
168,0.0375553648167959
169,0.0369872883275565
170,0.0363433537719043
171,0.0359308841146472
172,0.0352547638379265
173,0.0350152659368632
174,0.0344116465740093
175,0.0340589672606828
176,0.0338700337353428
177,0.0337173601833082
178,0.0329536706385163
179,0.0324191098701953
180,0.031782507759595
181,0.0315880899105583
182,0.0313330585526325
183,0.0311863613179421
184,0.0305541210493034
185,0.030354842644152
186,0.0297584111267061
187,0.0296879996090362
188,0.0293509982345612
189,0.0284964774695914
190,0.0281928828875315
191,0.0280973847226849
192,0.02749266225802
193,0.0273907971409652
194,0.0272254718358395
195,0.0267578693078117
196,0.0263575858446353
197,0.0261905132018481
198,0.0260718270945221
199,0.0256636165768962
200,0.0254304401152531
201,0.0251484318322728
202,0.0247970476660358
203,0.0244472346518224
204,0.0243334650707978
205,0.0241161632899474
206,0.0237665697302439
207,0.0233871043432658
208,0.0230874052493041
209,0.0225829276665007
210,0.0222817268729428
211,0.0219956781255443
212,0.0215697757171416
213,0.0213455886573796
214,0.0212728573466436
215,0.0209931746871912
216,0.0207952085749487
217,0.0206644587932163
218,0.020488822238795
219,0.0202844889340125
220,0.0200071326879825
221,0.0196211948349038
222,0.0195506356975515
223,0.0191483168148022
224,0.0189394724609958
225,0.0187224754921835
226,0.0185635889184946
227,0.0184228041389269
