"Protein","t","UniProt","ENTREZID"
"OID21254",1.76251248564359,"Q96DU3","114836"
"OID20088",1.75230056867094,"Q15165","5445"
"OID21302",1.74995659063434,"O75695","6102"
"OID20232",1.73912631575859,"Q16773","883"
"OID20529",1.73684815168689,"Q6DN72","343413"
"OID21363",1.73317543854692,"P25685","3337"
"OID20595",1.728767683472,"Q8TD46","131450"
"OID20260",1.71597195722515,"P48960","976"
"OID21299",1.70994363872504,"O94760","23576"
"OID20107",1.70702877021429,"Q04760","2739"
"OID20828",1.6948574026853,"P09769","2268"
"OID21404",1.69466220938247,"P30041","9588"
"OID21162",1.6939543971002,"Q6NXT1","129138"
"OID20806",1.68845103087105,"Q9UKV5","267"
"OID20108",1.68507662605322,"Q9NWQ8","55824"
"OID20181",1.67854118062107,"Q8WVQ1","124583"
"OID20156",1.64024667726002,"P41218","4332"
"OID20893",1.624185398052,"Q92851","843"
"OID21160",1.59362401503985,"Q99497","11315"
"OID21077",1.58883715976122,"P31948","10963"
"OID20620",1.58080657270668,"O00273","1676"
"OID20296",1.57000180108617,"P08236","2990"
"OID20744",1.55951391888905,"O43598","10591"
"OID20053",1.55913603763521,"P08670","7431"
"OID20171",1.55525379256205,"Q8NI22","90411"
"OID20072",1.55208902186833,"Q6UWL2","64420"
"OID20318",1.55043894005965,"Q14393","2621"
"OID21022",1.54074552467967,"Q9UNZ2","55968"
"OID20698",1.53395753910196,"P01133","1950"
"OID21175",1.51055234233734,"O14964","9146"
"OID21124",1.51011834850147,"P00749","5328"
"OID20055",1.50662059715866,"P34998","1394"
"OID20349",1.50556063996483,"P00740","2158"
"OID21485",1.50376808958005,"P41439","2352"
"OID21487",1.4889189669489,"Q9NZ53","50512"
"OID20526",1.48031224794349,"Q9C035","85363"
"OID20908",1.48025222363181,"P18031","5770"
"OID20210",1.46374077848883,"Q9UEW3","8685"
"OID20903",1.45581486808582,"P14868","1615"
"OID20169",1.45466674436357,"P18827","6382"
"OID20755",1.45000060624303,"Q9UHX3","30817"
"OID20204",1.44152531285961,"Q9BQB4","50964"
"OID21437",1.43661155276005,"P50579","10988"
"OID20640",1.42126624183327,"O43561","27040"
"OID20577",1.42021794878569,"Q9NWZ3","51135"
"OID21377",1.41221534062528,"Q86SF2","51809"
"OID20485",1.40975668183574,"P51617","3654"
"OID21367",1.40970805616425,"O60763","8615"
"OID20305",1.40677478306068,"P42574","836"
"OID20122",1.39433602128679,"P00568","203"
"OID20454",1.39247290317978,"P57771","85397"
"OID21361",1.3920590821844,"Q13576","10788"
"OID20641",1.38069490908869,"P36959","2766"
"OID21292",1.37080974767101,"Q9GZY6","7462"
"OID20840",1.37029665248936,"Q5JZY3","284656"
"OID20918",1.36631199454331,"O00559","9166"
"OID21236",1.34970261506134,"Q9BUE0","54797"
"OID21248",1.34277256492892,"P01229","3972"
"OID20386",1.33831346819462,"P00441","6647"
"OID20492",1.32666559192275,"Q9BXJ7","81693"
"OID20870",1.29432426320354,"Q15633","6895"
"OID20728",1.2901376666428,"Q8WXD2","29106"
"OID21161",1.28725993985141,"P22307","6342"
"OID20358",1.28141767319129,"P07339","1509"
"OID20085",1.27553986669599,"Q12912","4033"
"OID20625",1.27099667953663,"Q04637","1981"
"OID21224",1.26685956360012,"O75380","4726"
"OID20409",1.26671945586483,"P00915","759"
"OID20740",1.25929021418218,"Q15389","284"
"OID20520",1.25806384590559,"P01903","3122"
"OID20742",1.25613424077127,"P46109","1399"
"OID21461",1.2535123777116,"Q9H4F8","64093"
"OID21470",1.23927293158412,"Q16543","11140"
"OID20821",1.23624393862776,"Q8N2G4","116372"
"OID20733",1.22596356882162,"O75888","8741"
"OID21375",1.22096350414202,"Q8IXJ6","22933"
"OID21232",1.19242654381605,"P04637","7157"
"OID20532",1.19239910491314,"P13747","3133"
"OID21287",1.19157473240763,"O95831","9131"
"OID21468",1.18711703835527,"P35475","3425"
"OID20151",1.17527008054276,"Q13158","8772"
"OID21081",1.17000966032999,"O60462","8828"
"OID21436",1.16483029202277,"Q96NA2","83547"
"OID20321",1.1626968631774,"O00584","8635"
"OID20439",1.15081817973216,"Q9HCU5","10113"
"OID20425",1.14785504511252,"Q96AX2","326624"
"OID20146",1.14645920938936,"P10644","5573"
"OID20855",1.14463133762768,"Q9H0C8","80895"
