"Protein","logFC_Unadjusted","adj.P.Val_Unadjusted","Regulation_Unadjusted","Significant_Unadjusted","logFC_Adjusted","adj.P.Val_Adjusted","Regulation_Adjusted","Significant_Adjusted","Status","Direction_Consistent","Direction_Change","logFC_Change"
"OID20201",-0.150478049600673,0.411070718273531,"NS",FALSE,-0.00368874449039833,0.989942235105705,"NS",FALSE,"NS_Both",TRUE,FALSE,0.146789305110274
"OID20202",-0.265987343421605,0.000608236608763035,"NS",FALSE,-0.266535326683395,0.00336610288530362,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.000547983261790397
"OID20203",-0.228913509878097,0.313479921261355,"NS",FALSE,-0.0327828220182777,0.917270792326716,"NS",FALSE,"NS_Both",TRUE,FALSE,0.196130687859819
"OID20204",0.125103337536779,0.240431210272593,"NS",FALSE,0.161795988826061,0.136386019676506,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0366926512892821
"OID20205",-0.740879352669185,6.01406111131851e-07,"Down",TRUE,-0.435634319504242,0.00224169987576913,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.305245033164943
"OID20206",0.176184043715845,0.486135200342317,"NS",FALSE,0.247082944662526,0.39090793123758,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0708989009466817
"OID20207",0.0103000252206797,0.975237539471962,"NS",FALSE,-0.0065894302767465,0.984999218631131,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.0168894554974262
"OID20208",-0.432372021857922,5.31011573789607e-06,"NS",FALSE,-0.329278714003451,0.00213129340228428,"NS",FALSE,"NS_Both",TRUE,FALSE,0.103093307854471
"OID20209",0.251864043715846,0.00221914114537781,"NS",FALSE,0.359640775947741,1.72695838411813e-05,"NS",FALSE,"NS_Both",TRUE,FALSE,0.107776732231894
"OID20210",0.101696019335856,0.231857830486201,"NS",FALSE,0.0687325366505622,0.517443702561032,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.0329634826852934
"OID20211",0.662627406473305,4.24614531646857e-13,"Up",TRUE,0.646851890400778,1.60646918428395e-10,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.0157755160725268
"OID20212",-0.361878158890289,6.48046000596651e-05,"NS",FALSE,-0.322173312325174,0.00109400472908369,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0397048465651144
"OID20213",0.0402752080706174,0.68112365175956,"NS",FALSE,0.101765975110635,0.304225836935707,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0614907670400171
"OID20214",-0.707801298865064,1.81248722829403e-05,"Down",TRUE,-0.570970639364289,0.00225429552201507,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.136830659500775
"OID20215",-0.0892032870954177,0.605042475631925,"NS",FALSE,-0.0470341658795453,0.836485600396133,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0421691212158724
"OID20216",0.302082383354348,0.0128676832597536,"NS",FALSE,0.286952878783057,0.0434423785015206,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.0151295045712907
"OID20217",0.517016935687262,0.000230540248593091,"Up",TRUE,0.593312775868716,0.000191908090445858,"Up",TRUE,"Significant_Both",TRUE,FALSE,0.0762958401814532
"OID20218",-0.103359903320724,0.733312663241878,"NS",FALSE,-0.0491707113646928,0.903221446253416,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0541891919560313
"OID20219",-0.472736906263135,0.043708451804254,"NS",FALSE,-0.377730951143269,0.187691509416481,"NS",FALSE,"NS_Both",TRUE,FALSE,0.095005955119866
"OID20220",-1.11086792349727,1.84067356920603e-05,"Down",TRUE,-0.932187947920852,0.00140850993413283,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.178679975576413
"OID20221",-0.124998986969314,0.403086229485382,"NS",FALSE,0.1334932410984,0.372720919424738,"NS",FALSE,"NS_Both",TRUE,FALSE,0.258492228067714
