"Assay","Missing_N","Missing_Percent","Mean","SD","Median","Min","Max"
"OID20373",0,0,2.78995484693878,0.718968369505503,2.698,0.5811,9.8353
"OID20057",0,0,0.209421301020408,0.414643347606433,0.1716,-0.7866,3.9519
"OID20345",0,0,2.02800420918367,0.393088226825869,1.9776,1.211,5.569
"OID20135",0,0,2.81179209183673,1.12211839463797,2.6803,0.445,6.9352
"OID20065",0,0,0.492357908163265,0.267472486287428,0.4881,-0.3518,1.617
"OID20347",0,0,0.924182525510204,0.570309968586351,0.9653,-0.9379,3.343
"OID20083",0,0,1.60448992346939,2.53280505689501,0.3923,-2.6655,8.0457
"OID20134",0,0,0.182762755102041,0.602952076245151,0.0999,-1.0406,4.7119
"OID20351",0,0,3.15664158163265,0.57662834019254,3.1463,1.2059,5.4048
"OID20055",0,0,0.150785331632653,0.510968994619757,0.1248,-1.1445,4.2932
"OID20247",0,0,4.5392181122449,0.950420308999325,4.5094,1.1083,8.655
"OID20349",0,0,3.74211339285714,0.471445056436089,3.7768,0.8665,5.2275
"OID20059",0,0,0.0325192602040816,0.487626161320904,-0.0326,-0.9499,3.6528
"OID20368",0,0,3.12413010204082,1.00478170719727,3.0201,0.8455,7.04
"OID20075",0,0,2.66258482142857,1.56321948817535,2.4418,-0.2111,9.0702
"OID20237",0,0,3.44647040816327,0.863724171087568,3.5385,-0.3657,6.1738
"OID20244",0,0,4.73478418367347,1.23597278969368,4.6244,1.5286,10.0932
"OID20056",0,0,0.198943494897959,0.45414046758674,0.162,-0.8636,3.4444
"OID20070",0,0,0.0580326530612245,0.709150007353777,-0.0825,-1.1677,5.2699
"OID20271",0,0,6.28617780612245,1.53106948850741,5.9894,3.2109,11.5679
"OID20239",0,0,2.96858724489796,0.888330688251257,2.8304,0.7457,6.8611
"OID20152",0,0,2.67052818877551,1.04531608210303,2.4712,0.5936,6.8979
"OID20082",0,0,1.54516390306122,0.652761346132271,1.4682,-0.1537,4.4912
"OID20380",0,0,4.10081581632653,0.671506866764765,3.9957,2.3479,10.1499
