"Patient_Timepoint","Median_Correlation","Mean_Correlation","PCA_Mahalanobis_Distance"
"77_D3",0.686093535107901,0.677241812333154,2.32895572897947
"246_D0",0.686855332646126,0.684477390869331,4.50076768849783
"261_D3",0.687022246805655,0.665055013548123,6.71215932627222
"228_D3",0.687089269806452,0.665063674113484,4.06672849440908
"367_D3",0.687090415672819,0.675537581482582,2.53864068030531
"251_DE",0.687347755891266,0.657719944442565,5.67946799784325
"38_D0",0.687493539487277,0.676257588806515,7.51672328823496
"14_D7",0.687535511513973,0.684672181787246,5.25107025130487
"369_D7",0.687548181962172,0.688206329371126,5.57388118770876
"71_D0",0.687794222432521,0.678555322761213,7.8383474500942
"30_D0",0.687911577821199,0.67913310899537,2.35173895524252
"146_D7",0.688022657962611,0.679452552678269,5.6819814849774
"54_D3",0.688287468670155,0.683067770431674,4.60213517088022
"172_D3",0.688387435007963,0.677199812722259,5.01365320824147
"336_D0",0.688814392250722,0.690535336074811,2.82900028298781
"128_D3",0.688825408227098,0.656332276977332,4.15955073221106
"29_DE",0.68893841492982,0.681415946761388,5.27729237048093
"262_D3",0.689721595149391,0.686265555151702,2.49346333708632
"181_D0",0.689825016429666,0.666356154912604,3.31145486392653
"345_D0",0.689906955769602,0.667132439712824,8.58307038532094
"14_D0",0.690028633124759,0.65882741287801,2.77108590391043
"346_D0",0.690235736369237,0.679548907365703,8.7211875267862
"374_D3",0.690461442211389,0.674360507020469,8.07388985960876
"312_D7",0.690767291073739,0.685119290909908,3.32360764900931
"195_D0",0.690840912641883,0.687673091364496,2.32375726329543
"337_D0",0.691465397594575,0.666384236989163,6.17191125823089
"154_D3",0.691723696121101,0.682465564168593,9.54097322074888
"326_D3",0.691774732927406,0.676055742325823,0.459283354621963
"312_D3",0.691842325462189,0.68377773337778,3.3455640528497
"360_D0",0.691880758911773,0.687468318925112,2.18357411456505
"250_D0",0.692026755679161,0.681691206938948,8.62544068048167
"54_D0",0.692307798360737,0.690036786683443,4.37754899863248
"210_D0",0.692395825658686,0.660614871335823,5.69359532067544
"111_D0",0.692453534490187,0.678265669919691,5.07294754676168
"362_D3",0.692486259731507,0.685526526888777,3.79727053873404
"352_DE",0.692597557792285,0.686928425558258,2.5279178018491
"66_D7",0.693021255770914,0.682610477726742,2.49197913056801
